id,common_name,scientific_name,image,what_they_look_like,identification,prevention,treatment
spider_mites,Spider Mites,Tetranychidae,spidermite.jpg,"Tiny red, yellow, or translucent dots; fine webbing on leaves.","Leaves speckled or stippled; webbing between stems; thrives in dry air.","Increase humidity; avoid underwatering; shower plants regularly.","Spray with neem oil or insecticidal soap weekly; wipe leaves; use miticide if severe."
mealybugs,Mealybugs,Pseudococcidae,mealy.jpg,"White cottony clusters on leaves, stems, nodes.","Sticky honeydew on leaves; rapid spread in warm indoor spaces.","Inspect new plants; isolate affected ones; avoid overfertilizing.","Q-tip dipped in alcohol to remove; neem oil spray every 7 days; systemic insecticide for heavy cases."
scale_insects,Scale,Various Coccoidea species,scale.jpg,"Brown, tan, or black oval bumps stuck to stems/leaves.","Leaves yellowing; sticky honeydew; scales don’t move.","Inspect undersides of stems; avoid overcrowding plants.","Remove manually; spray with horticultural oil; apply systemic treatment for severe infestations."
fungus_gnats,Fungus Gnats,Sciaridae,fungus.jpg,"Tiny black flies hovering around soil surface.","Larvae in soil; moist soil attracts them.","Let soil dry between watering; bottom-water; use sand on soil surface.","Yellow sticky traps; BTi (Mosquito Bits) in water; repot in severe larval infestation."
aphids,Aphids,Aphidoidea,aphid.jpg,"Small green, yellow, black, or white pear-shaped insects.","Found on soft new growth; sticky residue present.","Check new growth often; avoid bringing garden plants inside untreated.","Spray with insecticidal soap; rinse plant; neem oil weekly until gone."
thrips,Thrips,Thysanoptera,thrips.jpg,"Slender brown or black insects; fast-moving; tiny.","Leaves appear streaked, silvered, or patchy.","Increase humidity; quarantine new plants.","Sticky traps; neem oil; spinosad weekly; prune damaged growth."
slugs,Slugs,Various Gastropoda,slug.jpg,"Small soft-bodied gray or brown pests.","Irregular holes in leaves; slime trails.","Avoid overly moist environments indoors.","Hand remove; use slug bait; reduce humidity and wet soil."
snails,Snails,Various Gastropoda,snail.jpg,"Small shelled mollusks.","Chewed leaves; slime residue.","Check pots before bringing indoors.","Hand removal; iron phosphate slug bait; drier soil."
nematodes,Root Nematodes,Various Nematoda,nematodes.jpg,"Invisible worms; root knots or swelling.","Plant declines despite normal care.","Use sterile soil; avoid using garden soil indoors.","Discard soil; wash roots; repot; apply organic nematicides."
leaf_miners,Leaf Miners,Agromyzidae larvae,leafminer.jpg,"Winding squiggly trails in leaves.","Larvae inside leaf tissue.","Inspect new plants thoroughly.","Prune affected leaves; use systemic insecticide if persistent."
psyllids,Psyllids,Psylloidea,psyllid.jpg,"Tiny cicada-like insects that jump.","Leaf curl, yellow patches.","Avoid nearby infected outdoor plants.","Neem oil; prune infected leaves."
greenhouse_midges,Dark-winged Midges,Bradysia species,midge.jpg,"Similar to fungus gnats; darker wings.","Larvae feed on decaying roots.","Reduce moisture; increase airflow.","BTi drenches; bottom watering."
earwigs_indoor,Earwig,Forficula auricularia,earwig.jpg,"Brown insects with pincers.","Chewed leaf edges.","Reduce moisture and debris in pots.","Remove manually; bait traps if severe."
silverfish_indoor,Silverfish,Lepisma saccharinum,Silverfish.jpg,"Silvery fast-moving insects.","Chew on soft plant tissue occasionally.","Reduce humidity; keep soil slightly drier.","Diatomaceous earth; sticky traps; reduce moisture."
